op_index,op_type,op_name,preferred_devices,supported_devices,estimated_cost
0,const,,,,0.0
1,const,,,,0.0
2,const,,,,0.0
3,const,,,,0.0
4,ios18.gather,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194b80>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194ac0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x126194b20>,0.06904376913618325
5,const,,,,0.0
6,ios18.add,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194b20>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194c40>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x126194be0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x126194ac0>,0.003061211677973832
7,const,,,,0.0
8,ios18.expand_dims,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194c40>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194ca0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x126194b80>,2.768763283426007e-06
9,const,,,,0.0
10,ios18.expand_dims,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194ca0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194ac0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x126194be0>,2.768763283426007e-06
11,const,,,,0.0
12,tile,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194ac0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194c40>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x126194b80>,0.0014169196825269245
13,const,,,,0.0
14,const,,,,0.0
15,ios18.cast,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194c40>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194ca0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x126194be0>,0.0021232958502006858
16,ios18.sub,,<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x126194c40>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x126194b80>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x126194ca0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x126194be0>,0.0011968773121067266
17,const,,,,0.0
18,const,,,,0.0
