op_index,op_type,op_name,preferred_devices,supported_devices,estimated_cost
0,const,,,,0.0
1,const,,,,0.0
2,const,,,,0.0
3,const,,,,0.0
4,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd60>,0.00990403837737537
5,const,,,,0.0
6,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,0.0015236940225327933
7,const,,,,0.0
8,const,,,,0.0
9,const,,,,0.0
10,const,,,,0.0
11,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cc70>,0.00990403837737537
12,const,,,,0.0
13,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,0.0015236940225327933
14,const,,,,0.0
15,const,,,,0.0
16,const,,,,0.0
17,const,,,,0.0
18,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd90>,0.00990403837737537
19,const,,,,0.0
20,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,0.0015236940225327933
21,const,,,,0.0
22,const,,,,0.0
23,const,,,,0.0
24,const,,,,0.0
