op_index,op_type,op_name,preferred_devices,supported_devices,estimated_cost
0,const,,,,0.0
1,const,,,,0.0
2,const,,,,0.0
3,const,,,,0.0
4,ios18.gather,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbee0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbe20>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x13f2bbe80>,0.42202010311639365
5,const,,,,0.0
6,ios18.add,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbe80>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbfa0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x13f2bbf40>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x13f2bbe20>,0.0011523322761541122
7,const,,,,0.0
8,ios18.expand_dims,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbf40>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbee0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x13f2bbfa0>,1.050004486321351e-06
9,const,,,,0.0
10,ios18.expand_dims,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbee0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbe80>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x13f2bbe20>,1.050004486321351e-06
11,const,,,,0.0
12,tile,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbe80>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbf40>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x13f2bbfa0>,3.336864651018089e-05
13,const,,,,0.0
14,const,,,,0.0
15,ios18.cast,,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbf40>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbee0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x13f2bbe20>,4.9222060703261134e-05
16,ios18.sub,,<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x13f2bbf40>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x13f2bbfa0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x13f2bbee0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x13f2bbe20>,2.7752870437072007e-05
17,const,,,,0.0
18,const,,,,0.0
